date,plant_id,is_working_day,planned_shifts,planned_hours
2024-02-22,P1,True,3,24
2024-02-22,P2,True,3,24
2024-02-23,P1,True,3,24
2024-02-23,P2,True,3,24
2024-02-24,P1,True,3,24
2024-02-24,P2,True,3,24
2024-02-25,P1,False,0,0
2024-02-25,P2,False,0,0
2024-02-26,P1,True,3,24
2024-02-26,P2,True,3,24
2024-02-27,P1,True,3,24
2024-02-27,P2,True,3,24
2024-02-28,P1,True,3,24
2024-02-28,P2,True,3,24
2024-02-29,P1,True,3,24
2024-02-29,P2,True,3,24
2024-03-01,P1,True,3,24
2024-03-01,P2,True,3,24
2024-03-02,P1,True,3,24
2024-03-02,P2,True,3,24
2024-03-03,P1,False,0,0
2024-03-03,P2,False,0,0
2024-03-04,P1,True,3,24
2024-03-04,P2,True,3,24
2024-03-05,P1,True,3,24
2024-03-05,P2,True,3,24
2024-03-06,P1,True,3,24
2024-03-06,P2,True,3,24
2024-03-07,P1,True,3,24
2024-03-07,P2,True,3,24
2024-03-08,P1,True,3,24
2024-03-08,P2,True,3,24
2024-03-09,P1,True,3,24
2024-03-09,P2,True,3,24
2024-03-10,P1,False,0,0
2024-03-10,P2,False,0,0
2024-03-11,P1,True,3,24
2024-03-11,P2,True,3,24
2024-03-12,P1,True,3,24
2024-03-12,P2,True,3,24
2024-03-13,P1,True,3,24
2024-03-13,P2,True,3,24
2024-03-14,P1,True,3,24
2024-03-14,P2,True,3,24
2024-03-15,P1,True,3,24
2024-03-15,P2,True,3,24
2024-03-16,P1,True,3,24
2024-03-16,P2,True,3,24
2024-03-17,P1,False,0,0
2024-03-17,P2,False,0,0
2024-03-18,P1,True,3,24
2024-03-18,P2,True,3,24
2024-03-19,P1,True,3,24
2024-03-19,P2,True,3,24
2024-03-20,P1,True,3,24
2024-03-20,P2,True,3,24
2024-03-21,P1,True,3,24
2024-03-21,P2,True,3,24
2024-03-22,P1,True,3,24
2024-03-22,P2,True,3,24
2024-03-23,P1,True,3,24
2024-03-23,P2,True,3,24
2024-03-24,P1,False,0,0
2024-03-24,P2,False,0,0
2024-03-25,P1,True,3,24
2024-03-25,P2,True,3,24
2024-03-26,P1,True,3,24
2024-03-26,P2,True,3,24
2024-03-27,P1,True,3,24
2024-03-27,P2,True,3,24
2024-03-28,P1,True,3,24
2024-03-28,P2,True,3,24
2024-03-29,P1,True,3,24
2024-03-29,P2,True,3,24
2024-03-30,P1,True,3,24
2024-03-30,P2,True,3,24
2024-03-31,P1,False,0,0
2024-03-31,P2,False,0,0
2024-04-01,P1,True,3,24
2024-04-01,P2,True,3,24
2024-04-02,P1,True,3,24
2024-04-02,P2,True,3,24
2024-04-03,P1,True,3,24
2024-04-03,P2,True,3,24
2024-04-04,P1,True,3,24
2024-04-04,P2,True,3,24
2024-04-05,P1,True,3,24
2024-04-05,P2,True,3,24
2024-04-06,P1,True,3,24
2024-04-06,P2,True,3,24
2024-04-07,P1,False,0,0
2024-04-07,P2,False,0,0
2024-04-08,P1,True,3,24
2024-04-08,P2,True,3,24
2024-04-09,P1,True,3,24
2024-04-09,P2,True,3,24
2024-04-10,P1,True,3,24
2024-04-10,P2,True,3,24
2024-04-11,P1,True,3,24
2024-04-11,P2,True,3,24
2024-04-12,P1,True,3,24
2024-04-12,P2,True,3,24
2024-04-13,P1,True,3,24
2024-04-13,P2,True,3,24
2024-04-14,P1,False,0,0
2024-04-14,P2,False,0,0
2024-04-15,P1,True,3,24
2024-04-15,P2,True,3,24
2024-04-16,P1,True,3,24
2024-04-16,P2,True,3,24
2024-04-17,P1,True,3,24
2024-04-17,P2,True,3,24
2024-04-18,P1,True,3,24
2024-04-18,P2,True,3,24
2024-04-19,P1,True,3,24
2024-04-19,P2,True,3,24
2024-04-20,P1,True,3,24
2024-04-20,P2,True,3,24
2024-04-21,P1,False,0,0
2024-04-21,P2,False,0,0
2024-04-22,P1,True,3,24
2024-04-22,P2,True,3,24
2024-04-23,P1,True,3,24
2024-04-23,P2,True,3,24
2024-04-24,P1,True,3,24
2024-04-24,P2,True,3,24
2024-04-25,P1,True,3,24
2024-04-25,P2,True,3,24
2024-04-26,P1,True,3,24
2024-04-26,P2,True,3,24
2024-04-27,P1,True,3,24
2024-04-27,P2,True,3,24
2024-04-28,P1,False,0,0
2024-04-28,P2,False,0,0
2024-04-29,P1,True,3,24
2024-04-29,P2,True,3,24
2024-04-30,P1,True,3,24
2024-04-30,P2,True,3,24
2024-05-01,P1,True,3,24
2024-05-01,P2,True,3,24
2024-05-02,P1,True,3,24
2024-05-02,P2,True,3,24
2024-05-03,P1,True,3,24
2024-05-03,P2,True,3,24
2024-05-04,P1,True,3,24
2024-05-04,P2,True,3,24
2024-05-05,P1,False,0,0
2024-05-05,P2,False,0,0
2024-05-06,P1,True,3,24
2024-05-06,P2,True,3,24
2024-05-07,P1,True,3,24
2024-05-07,P2,True,3,24
2024-05-08,P1,True,3,24
2024-05-08,P2,True,3,24
2024-05-09,P1,True,3,24
2024-05-09,P2,True,3,24
2024-05-10,P1,True,3,24
2024-05-10,P2,True,3,24
2024-05-11,P1,True,3,24
2024-05-11,P2,True,3,24
2024-05-12,P1,False,0,0
2024-05-12,P2,False,0,0
2024-05-13,P1,True,3,24
2024-05-13,P2,True,3,24
2024-05-14,P1,True,3,24
2024-05-14,P2,True,3,24
2024-05-15,P1,True,3,24
2024-05-15,P2,True,3,24
2024-05-16,P1,True,3,24
2024-05-16,P2,True,3,24
2024-05-17,P1,True,3,24
2024-05-17,P2,True,3,24
2024-05-18,P1,True,3,24
2024-05-18,P2,True,3,24
2024-05-19,P1,False,0,0
2024-05-19,P2,False,0,0
2024-05-20,P1,True,3,24
2024-05-20,P2,True,3,24
2024-05-21,P1,True,3,24
2024-05-21,P2,True,3,24
2024-05-22,P1,True,3,24
2024-05-22,P2,True,3,24
2024-05-23,P1,True,3,24
2024-05-23,P2,True,3,24
2024-05-24,P1,True,3,24
2024-05-24,P2,True,3,24
2024-05-25,P1,True,3,24
2024-05-25,P2,True,3,24
2024-05-26,P1,False,0,0
2024-05-26,P2,False,0,0
2024-05-27,P1,True,3,24
2024-05-27,P2,True,3,24
2024-05-28,P1,True,3,24
2024-05-28,P2,True,3,24
2024-05-29,P1,True,3,24
2024-05-29,P2,True,3,24
2024-05-30,P1,True,3,24
2024-05-30,P2,True,3,24
2024-05-31,P1,True,3,24
2024-05-31,P2,True,3,24
2024-06-01,P1,True,3,24
2024-06-01,P2,True,3,24
2024-06-02,P1,False,0,0
2024-06-02,P2,False,0,0
2024-06-03,P1,True,3,24
2024-06-03,P2,True,3,24
2024-06-04,P1,True,3,24
2024-06-04,P2,True,3,24
2024-06-05,P1,True,3,24
2024-06-05,P2,True,3,24
2024-06-06,P1,True,3,24
2024-06-06,P2,True,3,24
2024-06-07,P1,True,3,24
2024-06-07,P2,True,3,24
2024-06-08,P1,True,3,24
2024-06-08,P2,True,3,24
2024-06-09,P1,False,0,0
2024-06-09,P2,False,0,0
2024-06-10,P1,True,3,24
2024-06-10,P2,True,3,24
2024-06-11,P1,True,3,24
2024-06-11,P2,True,3,24
2024-06-12,P1,True,3,24
2024-06-12,P2,True,3,24
2024-06-13,P1,True,3,24
2024-06-13,P2,True,3,24
2024-06-14,P1,True,3,24
2024-06-14,P2,True,3,24
2024-06-15,P1,True,3,24
2024-06-15,P2,True,3,24
2024-06-16,P1,False,0,0
2024-06-16,P2,False,0,0
2024-06-17,P1,True,3,24
2024-06-17,P2,True,3,24
2024-06-18,P1,True,3,24
2024-06-18,P2,True,3,24
2024-06-19,P1,True,3,24
2024-06-19,P2,True,3,24
2024-06-20,P1,True,3,24
2024-06-20,P2,True,3,24
2024-06-21,P1,True,3,24
2024-06-21,P2,True,3,24
2024-06-22,P1,True,3,24
2024-06-22,P2,True,3,24
2024-06-23,P1,False,0,0
2024-06-23,P2,False,0,0
2024-06-24,P1,True,3,24
2024-06-24,P2,True,3,24
2024-06-25,P1,True,3,24
2024-06-25,P2,True,3,24
2024-06-26,P1,True,3,24
2024-06-26,P2,True,3,24
2024-06-27,P1,True,3,24
2024-06-27,P2,True,3,24
2024-06-28,P1,True,3,24
2024-06-28,P2,True,3,24
2024-06-29,P1,True,3,24
2024-06-29,P2,True,3,24
2024-06-30,P1,False,0,0
2024-06-30,P2,False,0,0
