order_id,product_id,order_quantity,due_date,priority_level,customer_type
O94,PR3,3443,2024-01-30,Low,Export
O95,PR5,3468,2024-03-09,Low,Export
O96,PR2,2669,2024-04-05,Medium,Export
O97,PR4,1500,2024-02-26,Low,Domestic
O98,PR2,2639,2024-06-04,Medium,Export
O99,PR4,3121,2024-03-27,High,Export
O100,PR5,2219,2024-03-24,High,Export
O101,PR4,4737,2024-05-01,High,Export
O102,PR2,1222,2024-02-17,Medium,Domestic
O103,PR5,4211,2024-04-07,Low,Export
O104,PR1,2375,2024-04-04,Medium,Export
O105,PR5,4627,2024-04-04,High,Domestic
O106,PR3,4016,2024-02-21,Medium,Domestic
O107,PR4,966,2024-06-16,Medium,Domestic
O108,PR3,3243,2024-03-09,Medium,Domestic
O109,PR5,4071,2024-03-01,Low,Domestic
O110,PR2,3703,2024-05-24,Medium,Domestic
O111,PR1,3980,2024-06-19,High,Export
O112,PR5,678,2024-05-20,High,Domestic
O113,PR5,1635,2024-05-15,Medium,Export
O114,PR4,586,2024-02-27,Medium,Domestic
O115,PR3,4935,2024-01-28,Low,Domestic
O116,PR4,3751,2024-03-03,Medium,Domestic
O117,PR3,2698,2024-03-28,Medium,Domestic
O118,PR2,2665,2024-05-19,Low,Export
O119,PR2,1134,2024-05-01,Medium,Export
O120,PR1,3313,2024-05-25,Medium,Domestic
O121,PR4,1999,2024-05-09,Low,Domestic
O122,PR5,987,2024-01-29,Medium,Export
O123,PR5,3685,2024-04-04,Medium,Domestic
O124,PR5,622,2024-02-23,Medium,Export
O125,PR5,3487,2024-06-27,Medium,Domestic
O126,PR1,4337,2024-01-31,Medium,Domestic
O127,PR3,2042,2024-03-16,Medium,Domestic
O128,PR4,3328,2024-01-18,Medium,Export
O129,PR5,1712,2024-05-17,Medium,Export
O130,PR3,4862,2024-03-29,High,Domestic
O131,PR4,1467,2024-02-14,High,Export
O132,PR1,3885,2024-03-12,High,Domestic
O133,PR3,1601,2024-03-03,Low,Export
O134,PR5,3170,2024-02-03,High,Export
O135,PR1,4391,2024-01-15,Medium,Export
O136,PR1,2343,2024-05-06,Medium,Export
O137,PR3,2343,2024-05-30,High,Domestic
O138,PR4,4263,2024-03-30,Low,Export
O139,PR3,628,2024-02-04,Low,Export
O140,PR1,3411,2024-01-21,Medium,Export
O141,PR5,4802,2024-05-24,Low,Domestic
O142,PR3,2856,2024-05-09,Low,Export
O143,PR1,1964,2024-03-22,Low,Export
O144,PR5,2466,2024-02-26,High,Export
O145,PR2,3340,2024-01-29,Low,Export
O146,PR4,876,2024-01-27,Medium,Export
O147,PR3,2087,2024-02-27,Medium,Export
O148,PR2,2940,2024-04-21,Medium,Export
O149,PR3,3971,2024-05-04,Medium,Export
O150,PR5,827,2024-06-20,Medium,Domestic
O151,PR1,2699,2024-02-20,Low,Export
O152,PR2,3115,2024-05-17,High,Export
O153,PR5,2333,2024-02-13,High,Export
O154,PR5,4730,2024-03-15,Medium,Export
O155,PR2,2985,2024-03-06,High,Export
O156,PR4,2103,2024-03-06,High,Export
O157,PR1,4149,2024-04-13,Low,Domestic
O158,PR3,1308,2024-04-09,Medium,Export
O159,PR3,2410,2024-03-24,Low,Domestic
O160,PR5,3637,2024-05-18,Medium,Export
O161,PR5,2460,2024-04-02,High,Domestic
O162,PR3,526,2024-03-15,Medium,Export
O163,PR5,2344,2024-01-26,High,Domestic
O164,PR3,632,2024-04-14,High,Domestic
O165,PR2,4705,2024-02-07,Low,Domestic
O166,PR5,2890,2024-05-09,High,Export
O167,PR3,2737,2024-02-19,Low,Export
O168,PR2,2369,2024-03-08,Low,Export
O169,PR2,3182,2024-05-24,Medium,Domestic
O170,PR4,640,2024-02-19,Medium,Domestic
O171,PR2,1161,2024-02-15,Medium,Export
O172,PR2,1786,2024-05-01,High,Domestic
O173,PR1,2623,2024-06-14,High,Domestic
O174,PR4,929,2024-02-12,Medium,Export
O175,PR2,2474,2024-02-04,High,Export
O176,PR2,3567,2024-05-14,Medium,Domestic
O177,PR5,3949,2024-04-07,Medium,Domestic
O178,PR3,1557,2024-06-17,High,Export
O179,PR3,1724,2024-06-12,Low,Domestic
O180,PR4,1789,2024-04-15,High,Domestic
O181,PR3,934,2024-02-13,High,Domestic
O182,PR2,1008,2024-05-04,Low,Domestic
O183,PR1,2190,2024-02-17,Medium,Export
O184,PR5,2175,2024-03-15,Medium,Export
O185,PR3,921,2024-03-09,High,Export
O186,PR5,4134,2024-05-05,Medium,Domestic
O187,PR1,703,2024-01-23,Medium,Export
O188,PR5,2093,2024-01-28,Medium,Domestic
O189,PR5,4272,2024-03-03,High,Export
O190,PR3,2554,2024-06-16,Medium,Domestic
O191,PR4,1846,2024-02-25,Low,Export
O192,PR3,2077,2024-04-15,Medium,Export
O193,PR2,2171,2024-04-05,Medium,Export
O194,PR5,3226,2024-05-02,Medium,Domestic
O195,PR5,1966,2024-05-17,Medium,Domestic
O196,PR1,725,2024-06-01,High,Export
O197,PR2,4853,2024-02-03,Medium,Domestic
O198,PR5,3894,2024-03-30,High,Domestic
O199,PR4,3943,2024-03-12,Medium,Domestic
O200,PR3,3522,2024-05-09,High,Export
O201,PR1,1320,2024-02-11,Medium,Export
O202,PR4,2138,2024-02-05,Medium,Export
O203,PR1,3473,2024-04-24,Medium,Domestic
O204,PR3,647,2024-01-30,Medium,Domestic
O205,PR2,4550,2024-06-04,High,Export
O206,PR1,2673,2024-04-02,Medium,Domestic
O207,PR5,503,2024-06-10,Low,Export
O208,PR2,1020,2024-03-23,Medium,Export
O209,PR1,2742,2024-02-06,Low,Domestic
O210,PR5,4016,2024-05-11,Medium,Domestic
O211,PR3,1945,2024-01-27,Low,Export
O212,PR5,2173,2024-04-19,Low,Export
O213,PR4,1792,2024-02-20,High,Export
O214,PR4,1408,2024-02-12,High,Export
O215,PR2,710,2024-05-07,Medium,Domestic
O216,PR4,1505,2024-05-17,Medium,Domestic
O217,PR3,1108,2024-04-07,Medium,Export
O218,PR3,4335,2024-04-07,Medium,Domestic
O219,PR5,3979,2024-03-20,High,Export
O220,PR4,2017,2024-05-11,Low,Domestic
O221,PR1,3545,2024-02-26,Medium,Domestic
O222,PR3,3175,2024-03-16,Medium,Domestic
O223,PR2,2306,2024-05-14,Medium,Domestic
O224,PR2,4310,2024-03-20,Medium,Domestic
O225,PR2,2523,2024-01-10,Medium,Domestic
O226,PR1,2811,2024-05-12,High,Export
O227,PR1,3265,2024-02-13,High,Domestic
O228,PR4,4545,2024-02-06,Medium,Domestic
O229,PR1,2991,2024-04-07,Medium,Export
O230,PR4,3690,2024-02-16,High,Export
O231,PR5,606,2024-05-13,Medium,Domestic
O232,PR5,2012,2024-05-27,Medium,Export
O233,PR2,4296,2024-04-13,Medium,Export
O234,PR2,2778,2024-06-02,Medium,Domestic
O235,PR5,2695,2024-04-10,Low,Export
O236,PR2,4389,2024-02-25,Medium,Domestic
O237,PR3,699,2024-05-21,High,Domestic
O238,PR5,2876,2024-01-10,Medium,Domestic
O239,PR1,2531,2024-04-30,Low,Domestic
O240,PR1,3759,2024-03-24,Low,Domestic
O241,PR2,4128,2024-01-29,Low,Domestic
O242,PR3,4368,2024-02-23,Medium,Export
O243,PR3,2623,2024-05-07,High,Export
O244,PR3,2168,2024-01-27,Low,Export
O245,PR1,4031,2024-02-06,High,Domestic
O246,PR4,2268,2024-03-04,Medium,Export
O247,PR4,1188,2024-06-05,Medium,Domestic
O248,PR1,4148,2024-05-10,Low,Domestic
O249,PR3,4433,2024-05-08,Medium,Export
O250,PR5,2876,2024-01-27,High,Domestic
O251,PR3,2479,2024-02-15,Medium,Domestic
O252,PR5,2913,2024-06-03,Medium,Domestic
O253,PR1,3108,2024-01-12,Medium,Domestic
O254,PR4,1269,2024-03-09,High,Domestic
O255,PR3,4979,2024-03-10,Medium,Export
O256,PR3,1582,2024-04-14,High,Export
O257,PR5,4750,2024-02-28,High,Export
O258,PR5,2496,2024-03-21,Medium,Domestic
O259,PR4,3324,2024-03-25,Medium,Domestic
O260,PR5,1531,2024-02-12,High,Export
O261,PR5,998,2024-06-05,Low,Export
O262,PR1,2783,2024-03-03,Medium,Domestic
O263,PR5,3971,2024-04-11,Medium,Export
O264,PR3,2621,2024-02-23,High,Domestic
O265,PR5,2884,2024-02-07,Medium,Export
O266,PR5,2496,2024-03-25,Medium,Domestic
O267,PR2,2347,2024-02-21,Medium,Export
O268,PR5,974,2024-05-06,Medium,Domestic
O269,PR5,4910,2024-03-28,Medium,Export
O270,PR3,4401,2024-04-20,Low,Domestic
O271,PR5,2430,2024-03-10,High,Domestic
O272,PR3,1690,2024-01-31,Medium,Export
O273,PR2,774,2024-02-29,Medium,Domestic
O274,PR2,3287,2024-04-22,Medium,Export
O275,PR4,4346,2024-03-02,Medium,Export
O276,PR5,1943,2024-04-08,Medium,Export
O277,PR4,3492,2024-06-14,Medium,Export
O278,PR4,2145,2024-03-31,Medium,Export
O279,PR4,4021,2024-06-13,Low,Export
O280,PR1,4966,2024-05-17,Low,Export
O281,PR1,3426,2024-01-28,High,Export
O282,PR5,3732,2024-03-21,Low,Domestic
O283,PR4,557,2024-04-13,High,Domestic
O284,PR3,1220,2024-04-15,High,Domestic
O285,PR5,3527,2024-03-29,Low,Export
O286,PR4,1367,2024-04-26,Low,Export
O287,PR2,3725,2024-06-10,Medium,Export
O288,PR1,4118,2024-05-17,Medium,Domestic
O289,PR4,2276,2024-05-09,Low,Domestic
O290,PR1,2064,2024-06-02,Low,Export
O291,PR3,663,2024-03-09,High,Domestic
O292,PR1,1524,2024-05-18,Low,Export
O293,PR1,3657,2024-06-19,Medium,Domestic
O294,PR2,3538,2024-04-10,High,Export
O295,PR5,2444,2024-06-02,High,Domestic
O296,PR4,3732,2024-02-20,Low,Export
O297,PR1,4791,2024-02-19,High,Domestic
O298,PR5,2984,2024-06-07,Medium,Domestic
O299,PR4,3152,2024-06-19,Medium,Domestic
O300,PR5,3273,2024-05-30,Low,Domestic
O301,PR5,1264,2024-03-25,Medium,Domestic
O302,PR2,4433,2024-03-27,Medium,Domestic
O303,PR2,1052,2024-05-15,Medium,Domestic
O304,PR5,4995,2024-03-20,Medium,Domestic
O305,PR2,3029,2024-06-01,Low,Domestic
O306,PR1,2347,2024-03-13,Medium,Export
O307,PR4,4876,2024-02-10,High,Domestic
O308,PR2,3509,2024-01-26,Medium,Export
O309,PR5,2765,2024-01-24,Low,Export
O310,PR2,3780,2024-03-27,Medium,Domestic
O311,PR5,4295,2024-04-05,Low,Domestic
O312,PR1,3612,2024-03-22,Medium,Export
O313,PR4,2140,2024-02-21,Medium,Export
O314,PR4,4920,2024-03-01,Medium,Export
O315,PR4,3485,2024-04-23,Medium,Domestic
O316,PR2,4025,2024-05-26,Low,Export
O317,PR2,637,2024-03-30,High,Export
O318,PR2,4714,2024-05-30,High,Export
O319,PR2,1591,2024-03-28,Medium,Export
O320,PR3,3065,2024-04-04,Medium,Domestic
O321,PR1,3115,2024-06-03,Low,Export
O322,PR4,3966,2024-03-31,Low,Export
O323,PR5,4812,2024-03-15,Low,Domestic
O324,PR2,2735,2024-06-10,High,Domestic
O325,PR2,3104,2024-01-27,Medium,Domestic
O326,PR5,3590,2024-02-15,Medium,Domestic
O327,PR2,3993,2024-06-25,Medium,Export
O328,PR4,1140,2024-05-06,Medium,Export
O329,PR4,2983,2024-02-23,Medium,Domestic
O330,PR2,1011,2024-05-23,Low,Domestic
O331,PR3,1219,2024-03-28,Medium,Domestic
O332,PR2,679,2024-02-05,Medium,Domestic
O333,PR3,1101,2024-02-26,High,Export
O334,PR1,3766,2024-03-17,Medium,Domestic
O335,PR4,4570,2024-02-05,High,Export
O336,PR2,734,2024-05-27,Medium,Domestic
O337,PR1,4542,2024-04-29,High,Export
O338,PR4,1394,2024-03-22,Medium,Export
O339,PR3,1281,2024-05-20,Medium,Export
O340,PR4,4204,2024-04-28,Medium,Export
O341,PR1,3419,2024-02-08,High,Export
O342,PR1,3273,2024-05-22,High,Domestic
O343,PR3,3348,2024-04-17,High,Domestic
O344,PR4,607,2024-02-15,Medium,Domestic
O345,PR5,2696,2024-01-30,Medium,Domestic
O346,PR1,1748,2024-02-24,Low,Domestic
O347,PR5,518,2024-01-14,Medium,Export
O348,PR2,1790,2024-05-30,Medium,Export
O349,PR1,992,2024-03-10,Low,Export
O350,PR4,4404,2024-05-20,Medium,Domestic
O351,PR2,3235,2024-05-18,Medium,Domestic
O352,PR1,3507,2024-05-06,High,Export
O353,PR5,1163,2024-06-06,Medium,Domestic
O354,PR3,2354,2024-02-22,Low,Export
O355,PR2,2737,2024-04-01,High,Domestic
O356,PR1,4310,2024-05-25,Medium,Domestic
O357,PR3,3309,2024-02-28,High,Domestic
O358,PR5,3790,2024-01-26,Low,Domestic
O359,PR5,4045,2024-04-05,Medium,Domestic
O360,PR5,4393,2024-05-12,Medium,Export
O361,PR1,1921,2024-03-25,Medium,Export
O362,PR3,4424,2024-04-19,Medium,Export
O363,PR1,4205,2024-03-10,Medium,Export
O364,PR5,4534,2024-02-10,High,Domestic
O365,PR4,1681,2024-03-15,Medium,Domestic
O366,PR2,2450,2024-03-26,Low,Domestic
O367,PR3,3432,2024-01-23,Medium,Domestic
O368,PR2,3744,2024-01-29,Medium,Domestic
O369,PR1,4168,2024-05-18,Medium,Domestic
O370,PR1,2263,2024-01-24,Medium,Domestic
O371,PR5,4869,2024-06-14,Medium,Domestic
O372,PR1,1218,2024-05-25,High,Export
O373,PR4,3843,2024-02-19,Medium,Export
O374,PR4,3636,2024-04-23,Medium,Export
O375,PR2,3203,2024-05-28,Medium,Export
O376,PR2,3414,2024-05-07,Medium,Domestic
O377,PR3,4478,2024-04-23,Medium,Export
O378,PR4,1536,2024-05-01,Medium,Domestic
O379,PR2,3370,2024-02-18,Low,Domestic
O380,PR1,2842,2024-05-15,High,Domestic
O381,PR1,4664,2024-03-19,Medium,Export
O382,PR4,2602,2024-05-01,Low,Domestic
O383,PR1,2090,2024-02-23,Medium,Domestic
O384,PR4,4600,2024-02-13,High,Export
O385,PR5,732,2024-03-01,Medium,Export
O386,PR1,4385,2024-05-29,Medium,Export
O387,PR1,3206,2024-05-08,High,Domestic
O388,PR3,2919,2024-05-23,High,Export
O389,PR2,2316,2024-06-07,High,Export
O390,PR1,4339,2024-04-26,High,Export
O391,PR1,2385,2024-06-11,Medium,Domestic
O392,PR5,2497,2024-04-01,Medium,Export
O393,PR2,3982,2024-03-10,Medium,Export
O394,PR5,4083,2024-06-10,Medium,Export
O395,PR1,1925,2024-05-18,Medium,Export
O396,PR1,859,2024-04-07,Medium,Domestic
O397,PR2,1710,2024-02-11,Medium,Domestic
O398,PR2,3988,2024-05-23,Medium,Export
O399,PR2,4746,2024-03-11,Medium,Export
O400,PR5,2220,2024-03-16,Low,Domestic
O401,PR5,4063,2024-03-14,High,Export
O402,PR5,4028,2024-04-27,High,Export
O403,PR2,1562,2024-04-01,Low,Export
O404,PR4,3494,2024-04-16,High,Domestic
O405,PR4,3434,2024-02-18,Low,Export
O406,PR3,4538,2024-03-11,High,Domestic
O407,PR1,521,2024-02-04,Low,Export
O408,PR1,1304,2024-01-28,High,Domestic
O409,PR5,1257,2024-05-15,Low,Domestic
O410,PR1,3454,2024-04-26,Medium,Export
O411,PR5,3077,2024-06-12,Low,Domestic
O412,PR3,706,2024-05-04,Medium,Domestic
O413,PR1,1521,2024-05-20,Medium,Domestic
O414,PR3,3763,2024-03-29,Low,Export
O415,PR5,3243,2024-05-31,Medium,Domestic
O416,PR3,2513,2024-03-20,Medium,Domestic
O417,PR3,1240,2024-04-12,High,Export
O418,PR1,760,2024-05-11,Low,Domestic
O419,PR3,4535,2024-03-20,Medium,Export
O420,PR2,4076,2024-04-14,Low,Export
O421,PR2,1510,2024-06-15,High,Export
O422,PR2,4078,2024-01-27,Low,Domestic
O423,PR3,4061,2024-01-21,High,Export
O424,PR1,3874,2024-05-07,High,Domestic
O425,PR4,1665,2024-06-16,Medium,Domestic
O426,PR2,1521,2024-06-01,Medium,Domestic
O427,PR2,3881,2024-06-03,Low,Export
O428,PR1,2488,2024-01-16,High,Export
O429,PR4,4263,2024-03-04,Low,Domestic
O430,PR2,1511,2024-02-22,Low,Domestic
O431,PR1,606,2024-03-01,Medium,Domestic
O432,PR2,4641,2024-02-08,Medium,Domestic
O433,PR4,1634,2024-03-30,Low,Domestic
O434,PR1,3392,2024-03-06,High,Domestic
O435,PR3,4774,2024-04-21,Low,Domestic
O436,PR3,4848,2024-03-04,Low,Domestic
O437,PR5,2807,2024-02-23,Medium,Export
O438,PR4,1811,2024-04-06,Medium,Export
O439,PR2,4406,2024-04-10,Low,Domestic
O440,PR3,967,2024-04-20,Medium,Domestic
O441,PR1,1026,2024-04-16,Medium,Domestic
O442,PR1,2467,2024-05-01,Medium,Export
O443,PR2,4625,2024-01-31,Medium,Domestic
O444,PR2,4047,2024-02-14,Medium,Domestic
O445,PR5,2005,2024-01-19,Medium,Export
O446,PR2,1269,2024-02-08,Medium,Export
O447,PR5,3418,2024-03-04,Medium,Export
O448,PR5,824,2024-05-30,High,Domestic
O449,PR5,4438,2024-03-28,Low,Domestic
O450,PR5,942,2024-04-07,High,Export
O451,PR2,522,2024-03-28,Medium,Export
O452,PR2,4650,2024-06-07,High,Domestic
O453,PR2,4871,2024-03-19,Medium,Export
O454,PR3,1687,2024-03-11,Medium,Domestic
O455,PR5,3646,2024-05-12,Medium,Domestic
O456,PR1,1418,2024-02-19,Medium,Domestic
O457,PR3,918,2024-05-20,Medium,Export
O458,PR2,4536,2024-04-07,Medium,Export
O459,PR2,2123,2024-04-29,Medium,Export
O460,PR3,3157,2024-01-24,Low,Export
O461,PR1,4720,2024-02-04,High,Export
O462,PR2,2855,2024-03-01,Medium,Domestic
O463,PR1,1215,2024-05-29,Medium,Domestic
O464,PR4,3825,2024-02-03,High,Domestic
O465,PR5,4075,2024-06-08,Medium,Domestic
O466,PR4,3366,2024-03-12,Medium,Export
O467,PR2,1042,2024-06-22,Medium,Export
O468,PR1,4874,2024-02-22,Medium,Export
O469,PR1,1719,2024-04-07,Medium,Export
O470,PR1,3489,2024-05-05,Medium,Domestic
O471,PR5,3937,2024-04-17,Low,Domestic
O472,PR1,644,2024-03-21,Medium,Domestic
O473,PR1,1894,2024-03-14,Medium,Domestic
O474,PR2,3749,2024-06-01,Medium,Domestic
O475,PR1,3026,2024-03-30,Medium,Export
O476,PR4,1207,2024-03-09,Low,Domestic
O477,PR4,4198,2024-01-29,Medium,Domestic
O478,PR1,3376,2024-01-26,High,Export
O479,PR3,3423,2024-02-04,Medium,Export
O480,PR4,2362,2024-05-31,Low,Export
O481,PR2,983,2024-05-15,Medium,Domestic
O482,PR3,3189,2024-04-13,Medium,Domestic
O483,PR1,2688,2024-01-30,Medium,Domestic
O484,PR2,1427,2024-04-20,High,Domestic
O485,PR1,3205,2024-05-19,Low,Domestic
O486,PR4,568,2024-04-10,Medium,Export
O487,PR2,4864,2024-05-03,Medium,Export
O488,PR3,3961,2024-05-02,Low,Export
O489,PR5,1642,2024-03-21,Low,Export
O490,PR4,4836,2024-04-21,Medium,Domestic
O491,PR2,805,2024-06-17,High,Export
O492,PR4,2635,2024-05-17,Medium,Domestic
O493,PR4,2254,2024-01-27,High,Domestic
O494,PR4,1680,2024-06-23,Medium,Export
O495,PR1,2382,2024-03-28,Medium,Domestic
O496,PR1,3158,2024-05-31,Medium,Export
O497,PR4,3909,2024-03-01,Medium,Domestic
O498,PR3,1661,2024-04-07,High,Export
O499,PR4,4213,2024-05-28,Medium,Export
O500,PR3,3574,2024-04-28,Low,Domestic
O501,PR5,1837,2024-02-09,Low,Domestic
O502,PR4,2156,2024-04-30,Medium,Export
O503,PR1,4587,2024-05-13,Low,Export
O504,PR4,2726,2024-02-10,Medium,Export
O505,PR3,4194,2024-05-25,Medium,Domestic
O506,PR5,1979,2024-05-18,Medium,Domestic
O507,PR4,3171,2024-05-22,Medium,Export
O508,PR5,1698,2024-06-01,High,Domestic
O509,PR1,1886,2024-04-23,Medium,Export
O510,PR4,2840,2024-04-14,Medium,Export
O511,PR1,1862,2024-04-03,High,Domestic
O512,PR2,3723,2024-06-08,Low,Export
O513,PR2,2883,2024-02-16,Medium,Domestic
O514,PR2,3820,2024-04-12,Medium,Domestic
O515,PR1,1145,2024-03-07,Low,Export
O516,PR1,4691,2024-05-03,Medium,Domestic
O517,PR2,4894,2024-02-06,Low,Export
O518,PR2,2076,2024-03-14,Low,Domestic
O519,PR2,4100,2024-02-15,Low,Export
O520,PR1,2998,2024-05-20,High,Export
O521,PR5,1019,2024-03-25,Medium,Export
O522,PR5,1508,2024-02-26,Medium,Domestic
O523,PR5,2907,2024-01-14,Medium,Export
O524,PR5,1334,2024-05-09,Low,Domestic
O525,PR5,3653,2024-04-10,High,Domestic
O526,PR5,722,2024-03-01,Low,Domestic
O527,PR5,1354,2024-02-17,Medium,Domestic
O528,PR1,1224,2024-03-24,Medium,Domestic
O529,PR1,1217,2024-02-22,Medium,Domestic
O530,PR2,2942,2024-03-10,Low,Export
O531,PR2,3476,2024-06-19,Low,Export
O532,PR5,4782,2024-03-20,Medium,Export
O533,PR3,3492,2024-05-29,Medium,Export
O534,PR4,2482,2024-02-13,High,Export
O535,PR3,512,2024-04-01,Medium,Export
O536,PR2,2189,2024-03-12,Medium,Export
O537,PR3,1928,2024-01-17,Medium,Export
O538,PR4,3309,2024-05-22,High,Export
O539,PR1,1378,2024-04-03,Medium,Export
O540,PR5,825,2024-04-08,Medium,Domestic
O541,PR4,1111,2024-02-05,Medium,Domestic
O542,PR1,2969,2024-03-03,High,Export
O543,PR4,1808,2024-05-31,Medium,Domestic
O544,PR3,3156,2024-03-24,High,Domestic
O545,PR2,2702,2024-05-12,Medium,Export
O546,PR4,2833,2024-01-20,Low,Domestic
O547,PR2,2443,2024-06-15,Low,Export
O548,PR5,2313,2024-04-08,Medium,Export
O549,PR2,4485,2024-03-02,Medium,Export
O550,PR3,3345,2024-05-19,High,Export
O551,PR3,2458,2024-03-23,Low,Export
O552,PR2,4333,2024-02-25,Medium,Export
O553,PR5,1367,2024-02-11,High,Domestic
O554,PR1,1169,2024-02-06,Low,Export
O555,PR1,2418,2024-05-24,Medium,Domestic
O556,PR2,3376,2024-02-16,Low,Export
O557,PR3,2573,2024-03-18,High,Domestic
O558,PR1,3529,2024-02-28,Medium,Domestic
O559,PR2,2858,2024-03-12,Low,Domestic
O560,PR5,2925,2024-01-21,High,Domestic
O561,PR5,3156,2024-05-17,Medium,Domestic
O562,PR5,4404,2024-02-15,High,Domestic
O563,PR2,1027,2024-03-12,High,Export
O564,PR2,4343,2024-03-28,Low,Export
O565,PR3,1681,2024-02-12,High,Domestic
O566,PR1,4411,2024-02-27,Medium,Domestic
O567,PR2,3770,2024-02-21,High,Export
O568,PR1,3504,2024-04-01,Medium,Export
O569,PR1,1527,2024-06-10,Medium,Export
O570,PR5,3261,2024-05-02,Medium,Domestic
O571,PR2,4502,2024-06-01,Low,Domestic
O572,PR3,3382,2024-02-13,Low,Export
O573,PR3,786,2024-04-26,Low,Export
O574,PR1,2634,2024-05-11,Medium,Domestic
O575,PR2,4300,2024-05-17,Medium,Domestic
O576,PR4,564,2024-03-06,Low,Domestic
