run_id,date,plant_id,line_id,shift_id,product_id,planned_units,actual_units,run_hours,downtime_minutes,scrap_units
R76,2024-01-05,P1,L2,S1,PR2,732,729,7.93,4,22
R77,2024-01-05,P1,L2,S2,PR2,657,644,7.87,8,25
R78,2024-01-05,P1,L2,S3,PR1,635,607,7.58,25,15
R79,2024-01-05,P1,L3,S1,PR4,512,504,7.13,52,15
R80,2024-01-05,P1,L3,S2,PR2,533,515,7.35,39,9
R81,2024-01-05,P1,L3,S3,PR2,506,502,7.4,36,18
R82,2024-01-05,P2,L4,S1,PR3,797,777,8.0,0,19
R83,2024-01-05,P2,L4,S2,PR4,752,740,7.53,28,25
R84,2024-01-05,P2,L4,S3,PR4,765,760,7.85,9,15
R85,2024-01-05,P2,L5,S1,PR5,614,601,7.68,19,6
R86,2024-01-05,P2,L5,S2,PR5,619,602,7.52,29,15
R87,2024-01-05,P2,L5,S3,PR5,621,590,7.57,26,6
R88,2024-01-05,P2,L6,S1,PR2,467,462,7.8,12,9
R89,2024-01-05,P2,L6,S2,PR5,495,489,7.48,31,8
R90,2024-01-05,P2,L6,S3,PR5,433,424,7.45,33,5
R91,2024-01-06,P1,L1,S1,PR2,783,765,7.4,36,22
R92,2024-01-06,P1,L1,S2,PR1,783,772,7.7,18,30
R93,2024-01-06,P1,L1,S3,PR2,677,670,7.75,15,12
R94,2024-01-06,P1,L2,S1,PR1,707,687,7.95,3,8
R95,2024-01-06,P1,L2,S2,PR2,715,693,7.9,6,10
R96,2024-01-06,P1,L2,S3,PR5,691,661,7.92,5,11
R97,2024-01-06,P1,L3,S1,PR5,574,564,7.42,35,10
R98,2024-01-06,P1,L3,S2,PR1,558,556,7.75,15,17
R99,2024-01-06,P1,L3,S3,PR1,526,510,7.03,58,8
R100,2024-01-06,P2,L4,S1,PR2,802,776,7.83,10,25
R101,2024-01-06,P2,L4,S2,PR3,764,743,7.7,18,9
R102,2024-01-06,P2,L4,S3,PR4,750,730,7.85,9,17
R103,2024-01-06,P2,L5,S1,PR1,620,601,7.53,28,17
R104,2024-01-06,P2,L5,S2,PR5,612,600,7.88,7,6
R105,2024-01-06,P2,L5,S3,PR3,654,637,7.63,22,22
R106,2024-01-06,P2,L6,S1,PR4,469,460,7.75,15,6
R107,2024-01-06,P2,L6,S2,PR1,522,496,7.83,10,13
R108,2024-01-06,P2,L6,S3,PR4,435,433,7.27,44,11
R109,2024-01-08,P1,L1,S1,PR3,815,792,7.08,55,20
R110,2024-01-08,P1,L1,S2,PR3,688,685,7.02,59,14
R111,2024-01-08,P1,L1,S3,PR4,744,709,7.35,39,13
R112,2024-01-08,P1,L2,S1,PR5,663,657,7.82,11,7
R113,2024-01-08,P1,L2,S2,PR2,670,640,7.88,7,19
R114,2024-01-08,P1,L2,S3,PR2,696,683,7.98,1,24
R115,2024-01-08,P1,L3,S1,PR1,527,508,7.17,50,7
R116,2024-01-08,P1,L3,S2,PR3,525,518,7.2,48,17
R117,2024-01-08,P1,L3,S3,PR3,518,501,7.82,11,16
R118,2024-01-08,P2,L4,S1,PR1,771,745,7.92,5,28
R119,2024-01-08,P2,L4,S2,PR1,753,743,7.88,7,24
R120,2024-01-08,P2,L4,S3,PR4,746,712,7.67,20,26
R121,2024-01-08,P2,L5,S1,PR5,700,676,7.8,12,24
R122,2024-01-08,P2,L5,S2,PR2,627,607,7.5,30,6
R123,2024-01-08,P2,L5,S3,PR1,606,604,7.55,27,16
R124,2024-01-08,P2,L6,S1,PR4,479,470,7.32,41,11
R125,2024-01-08,P2,L6,S2,PR5,442,434,7.12,53,14
R126,2024-01-08,P2,L6,S3,PR2,403,398,7.0,60,13
R127,2024-01-09,P1,L1,S1,PR5,761,725,7.22,47,19
R128,2024-01-09,P1,L1,S2,PR1,780,758,7.78,13,27
R129,2024-01-09,P1,L1,S3,PR1,692,662,7.32,41,21
R130,2024-01-09,P1,L2,S1,PR5,678,665,7.85,9,8
R131,2024-01-09,P1,L2,S2,PR2,707,674,7.93,4,23
R132,2024-01-09,P1,L2,S3,PR3,622,612,7.73,16,7
R133,2024-01-09,P1,L3,S1,PR5,481,476,7.45,33,18
R134,2024-01-09,P1,L3,S2,PR4,498,497,7.7,18,16
R135,2024-01-09,P1,L3,S3,PR3,458,452,7.22,47,12
R136,2024-01-09,P2,L4,S1,PR3,755,733,7.9,6,27
R137,2024-01-09,P2,L4,S2,PR3,760,722,7.87,8,17
R138,2024-01-09,P2,L4,S3,PR1,653,622,7.62,23,8
R139,2024-01-09,P2,L5,S1,PR5,672,663,7.9,6,18
R140,2024-01-09,P2,L5,S2,PR3,622,620,7.82,11,13
R141,2024-01-09,P2,L5,S3,PR5,621,596,7.57,26,23
R142,2024-01-09,P2,L6,S1,PR1,466,442,7.23,46,17
R143,2024-01-09,P2,L6,S2,PR2,500,476,7.48,31,12
R144,2024-01-09,P2,L6,S3,PR5,473,472,7.6,24,12
R145,2024-01-10,P1,L1,S1,PR1,855,831,7.48,31,23
R146,2024-01-10,P1,L1,S2,PR2,835,817,7.5,30,30
R147,2024-01-10,P1,L1,S3,PR5,796,767,7.07,56,11
R148,2024-01-10,P1,L2,S1,PR3,661,643,7.88,7,13
R149,2024-01-10,P1,L2,S2,PR5,673,672,8.0,0,26
R150,2024-01-10,P1,L2,S3,PR4,643,633,7.68,19,16
R151,2024-01-10,P1,L3,S1,PR1,531,522,7.17,50,7
R152,2024-01-10,P1,L3,S2,PR3,500,497,7.35,39,17
R153,2024-01-10,P1,L3,S3,PR2,447,445,7.32,41,16
R154,2024-01-10,P2,L4,S1,PR1,854,813,8.0,0,8
R155,2024-01-10,P2,L4,S2,PR1,822,821,7.97,2,11
R156,2024-01-10,P2,L4,S3,PR3,678,664,7.65,21,14
R157,2024-01-10,P2,L5,S1,PR4,639,620,7.7,18,11
R158,2024-01-10,P2,L5,S2,PR2,693,660,7.75,15,23
R159,2024-01-10,P2,L5,S3,PR3,612,604,7.77,14,23
R160,2024-01-10,P2,L6,S1,PR5,496,492,7.5,30,8
R161,2024-01-10,P2,L6,S2,PR4,446,444,7.2,48,12
R162,2024-01-10,P2,L6,S3,PR3,443,425,7.18,49,12
R163,2024-01-11,P1,L1,S1,PR4,730,697,7.58,25,21
R164,2024-01-11,P1,L1,S2,PR4,802,782,7.08,55,25
R165,2024-01-11,P1,L1,S3,PR1,812,793,7.62,23,21
R166,2024-01-11,P1,L2,S1,PR5,681,676,7.72,17,14
R167,2024-01-11,P1,L2,S2,PR2,705,694,7.73,16,11
R168,2024-01-11,P1,L2,S3,PR4,706,675,7.87,8,7
R169,2024-01-11,P1,L3,S1,PR4,573,555,7.68,19,12
R170,2024-01-11,P1,L3,S2,PR5,465,462,7.35,39,9
R171,2024-01-11,P1,L3,S3,PR4,531,514,7.33,40,14
R172,2024-01-11,P2,L4,S1,PR4,733,727,7.55,27,27
R173,2024-01-11,P2,L4,S2,PR3,693,674,7.93,4,26
R174,2024-01-11,P2,L4,S3,PR2,696,678,7.65,21,13
R175,2024-01-11,P2,L5,S1,PR5,614,585,7.93,4,8
R176,2024-01-11,P2,L5,S2,PR1,675,645,7.78,13,9
R177,2024-01-11,P2,L5,S3,PR5,624,598,7.75,15,12
R178,2024-01-11,P2,L6,S1,PR3,478,475,7.67,20,11
R179,2024-01-11,P2,L6,S2,PR5,466,447,7.48,31,5
R180,2024-01-11,P2,L6,S3,PR2,485,464,7.57,26,8
R181,2024-01-12,P1,L1,S1,PR2,801,769,7.63,22,16
R182,2024-01-12,P1,L1,S2,PR1,760,741,7.65,21,22
R183,2024-01-12,P1,L1,S3,PR5,745,740,7.82,11,27
R184,2024-01-12,P1,L2,S1,PR2,670,638,7.53,28,11
R185,2024-01-12,P1,L2,S2,PR4,717,687,7.88,7,11
R186,2024-01-12,P1,L2,S3,PR4,665,644,7.67,20,15
R187,2024-01-12,P1,L3,S1,PR1,502,488,7.82,11,15
R188,2024-01-12,P1,L3,S2,PR1,534,508,7.05,57,8
R189,2024-01-12,P1,L3,S3,PR1,524,511,7.63,22,13
R190,2024-01-12,P2,L4,S1,PR4,760,726,7.72,17,17
R191,2024-01-12,P2,L4,S2,PR3,687,661,7.82,11,14
R192,2024-01-12,P2,L4,S3,PR4,728,692,7.88,7,13
R193,2024-01-12,P2,L5,S1,PR3,620,592,7.7,18,21
R194,2024-01-12,P2,L5,S2,PR5,626,613,7.98,1,18
R195,2024-01-12,P2,L5,S3,PR2,610,582,7.75,15,15
R196,2024-01-12,P2,L6,S1,PR5,505,494,7.07,56,15
R197,2024-01-12,P2,L6,S2,PR3,446,430,7.18,49,8
R198,2024-01-12,P2,L6,S3,PR1,474,465,7.72,17,12
R199,2024-01-13,P1,L1,S1,PR1,693,661,7.13,52,9
R200,2024-01-13,P1,L1,S2,PR1,762,733,7.0,60,10
R201,2024-01-13,P1,L1,S3,PR3,691,662,7.2,48,24
R202,2024-01-13,P1,L2,S1,PR5,669,638,8.0,0,16
R203,2024-01-13,P1,L2,S2,PR2,693,662,7.77,14,14
R204,2024-01-13,P1,L2,S3,PR4,627,626,7.58,25,22
R205,2024-01-13,P1,L3,S1,PR2,501,480,7.37,38,14
R206,2024-01-13,P1,L3,S2,PR3,550,548,7.5,30,14
R207,2024-01-13,P1,L3,S3,PR2,441,435,7.4,36,6
R208,2024-01-13,P2,L4,S1,PR4,753,727,7.55,27,16
R209,2024-01-13,P2,L4,S2,PR3,674,644,7.68,19,18
R210,2024-01-13,P2,L4,S3,PR4,700,675,7.65,21,18
R211,2024-01-13,P2,L5,S1,PR3,639,624,7.68,19,7
R212,2024-01-13,P2,L5,S2,PR4,605,584,7.78,13,8
R213,2024-01-13,P2,L5,S3,PR3,646,621,7.73,16,18
R214,2024-01-13,P2,L6,S1,PR4,454,448,7.12,53,12
R215,2024-01-13,P2,L6,S2,PR2,430,416,7.58,25,15
R216,2024-01-13,P2,L6,S3,PR5,464,460,7.83,10,17
R217,2024-01-15,P1,L1,S1,PR2,763,760,7.08,55,11
R218,2024-01-15,P1,L1,S2,PR2,739,704,7.25,45,22
R219,2024-01-15,P1,L1,S3,PR4,774,740,7.27,44,25
R220,2024-01-15,P1,L2,S1,PR4,702,673,7.87,8,10
R221,2024-01-15,P1,L2,S2,PR5,695,683,7.73,16,17
R222,2024-01-15,P1,L2,S3,PR1,606,586,7.5,30,21
R223,2024-01-15,P1,L3,S1,PR2,574,557,7.63,22,11
R224,2024-01-15,P1,L3,S2,PR3,536,521,7.8,12,9
R225,2024-01-15,P1,L3,S3,PR4,520,500,7.83,10,18
R226,2024-01-15,P2,L4,S1,PR3,809,784,7.63,22,20
R227,2024-01-15,P2,L4,S2,PR5,738,705,7.53,28,26
R228,2024-01-15,P2,L4,S3,PR1,719,705,7.53,28,14
R229,2024-01-15,P2,L5,S1,PR1,661,648,7.77,14,16
R230,2024-01-15,P2,L5,S2,PR5,650,646,7.97,2,21
R231,2024-01-15,P2,L5,S3,PR2,610,587,7.97,2,18
R232,2024-01-15,P2,L6,S1,PR4,444,422,7.08,55,11
R233,2024-01-15,P2,L6,S2,PR1,501,484,7.4,36,16
R234,2024-01-15,P2,L6,S3,PR4,487,465,7.68,19,16
R235,2024-01-16,P1,L1,S1,PR1,757,749,7.28,43,10
R236,2024-01-16,P1,L1,S2,PR1,739,710,7.42,35,22
R237,2024-01-16,P1,L1,S3,PR4,777,765,7.42,35,20
R238,2024-01-16,P1,L2,S1,PR3,747,719,7.88,7,14
R239,2024-01-16,P1,L2,S2,PR2,620,603,7.85,9,23
R240,2024-01-16,P1,L2,S3,PR5,713,682,7.88,7,18
R241,2024-01-16,P1,L3,S1,PR1,625,594,7.8,12,21
R242,2024-01-16,P1,L3,S2,PR1,530,528,7.48,31,14
R243,2024-01-16,P1,L3,S3,PR1,490,482,7.18,49,7
R244,2024-01-16,P2,L4,S1,PR1,763,746,7.78,13,21
R245,2024-01-16,P2,L4,S2,PR4,842,839,7.98,1,31
R246,2024-01-16,P2,L4,S3,PR2,685,666,7.75,15,8
R247,2024-01-16,P2,L5,S1,PR2,662,648,7.9,6,14
R248,2024-01-16,P2,L5,S2,PR3,670,638,7.55,27,12
R249,2024-01-16,P2,L5,S3,PR4,573,559,7.75,15,21
R250,2024-01-16,P2,L6,S1,PR3,425,411,7.12,53,8
R251,2024-01-16,P2,L6,S2,PR3,461,443,7.13,52,10
R252,2024-01-16,P2,L6,S3,PR3,513,490,7.5,30,7
R253,2024-01-17,P1,L1,S1,PR4,663,660,7.42,35,13
R254,2024-01-17,P1,L1,S2,PR1,764,747,7.27,44,21
R255,2024-01-17,P1,L1,S3,PR2,734,700,7.5,30,27
R256,2024-01-17,P1,L2,S1,PR1,636,620,7.72,17,17
R257,2024-01-17,P1,L2,S2,PR4,681,654,7.73,16,24
R258,2024-01-17,P1,L2,S3,PR1,632,606,7.63,22,9
R259,2024-01-17,P1,L3,S1,PR3,522,510,7.43,34,6
R260,2024-01-17,P1,L3,S2,PR3,485,479,7.12,53,11
R261,2024-01-17,P1,L3,S3,PR1,437,423,7.83,10,11
R262,2024-01-17,P2,L4,S1,PR4,791,757,7.7,18,11
R263,2024-01-17,P2,L4,S2,PR3,685,672,7.7,18,14
R264,2024-01-17,P2,L4,S3,PR3,680,646,7.82,11,9
R265,2024-01-17,P2,L5,S1,PR5,691,657,7.85,9,10
R266,2024-01-17,P2,L5,S2,PR1,679,652,7.58,25,19
R267,2024-01-17,P2,L5,S3,PR2,576,565,7.55,27,9
R268,2024-01-17,P2,L6,S1,PR1,527,503,7.78,13,8
R269,2024-01-17,P2,L6,S2,PR4,531,526,7.73,16,11
R270,2024-01-17,P2,L6,S3,PR2,465,457,7.28,43,7
R271,2024-01-18,P1,L1,S1,PR3,771,732,7.07,56,9
R272,2024-01-18,P1,L1,S2,PR5,804,772,7.75,15,8
R273,2024-01-18,P1,L1,S3,PR2,756,734,7.45,33,26
R274,2024-01-18,P1,L2,S1,PR5,615,609,7.53,28,12
R275,2024-01-18,P1,L2,S2,PR4,633,620,7.5,30,11
R276,2024-01-18,P1,L2,S3,PR5,578,567,7.62,23,12
R277,2024-01-18,P1,L3,S1,PR2,438,422,7.07,56,16
R278,2024-01-18,P1,L3,S2,PR5,572,565,7.42,35,8
R279,2024-01-18,P1,L3,S3,PR3,513,510,7.75,15,17
R280,2024-01-18,P2,L4,S1,PR5,778,755,7.57,26,8
R281,2024-01-18,P2,L4,S2,PR4,743,729,7.55,27,12
R282,2024-01-18,P2,L4,S3,PR5,622,595,7.6,24,20
R283,2024-01-18,P2,L5,S1,PR4,631,604,7.55,27,10
R284,2024-01-18,P2,L5,S2,PR5,677,643,7.95,3,24
R285,2024-01-18,P2,L5,S3,PR5,638,614,8.0,0,16
R286,2024-01-18,P2,L6,S1,PR3,450,442,7.23,46,15
R287,2024-01-18,P2,L6,S2,PR5,505,494,7.55,27,14
R288,2024-01-18,P2,L6,S3,PR1,496,475,7.53,28,17
R289,2024-01-19,P1,L1,S1,PR3,696,679,7.37,38,7
R290,2024-01-19,P1,L1,S2,PR4,703,673,7.18,49,21
R291,2024-01-19,P1,L1,S3,PR3,705,678,7.0,60,14
R292,2024-01-19,P1,L2,S1,PR4,635,612,7.55,27,12
R293,2024-01-19,P1,L2,S2,PR5,626,612,7.53,28,14
R294,2024-01-19,P1,L2,S3,PR1,692,680,7.85,9,25
R295,2024-01-19,P1,L3,S1,PR5,498,473,7.45,33,8
R296,2024-01-19,P1,L3,S2,PR2,557,545,7.62,23,6
R297,2024-01-19,P1,L3,S3,PR3,565,546,7.38,37,18
R298,2024-01-19,P2,L4,S1,PR5,746,712,7.75,15,8
R299,2024-01-19,P2,L4,S2,PR1,737,725,7.63,22,16
R300,2024-01-19,P2,L4,S3,PR5,772,742,7.65,21,25
R301,2024-01-19,P2,L5,S1,PR2,668,643,7.72,17,17
R302,2024-01-19,P2,L5,S2,PR4,677,655,7.68,19,8
R303,2024-01-19,P2,L5,S3,PR5,613,588,7.82,11,15
R304,2024-01-19,P2,L6,S1,PR4,513,509,7.52,29,16
R305,2024-01-19,P2,L6,S2,PR4,510,502,7.5,30,17
R306,2024-01-19,P2,L6,S3,PR4,499,480,7.53,28,11
R307,2024-01-20,P1,L1,S1,PR4,793,760,7.33,40,20
R308,2024-01-20,P1,L1,S2,PR2,772,768,7.23,46,8
R309,2024-01-20,P1,L1,S3,PR4,684,681,7.35,39,26
R310,2024-01-20,P1,L2,S1,PR2,746,743,8.0,0,18
R311,2024-01-20,P1,L2,S2,PR3,705,680,8.0,0,23
R312,2024-01-20,P1,L2,S3,PR4,655,623,7.88,7,17
R313,2024-01-20,P1,L3,S1,PR5,492,469,7.17,50,14
R314,2024-01-20,P1,L3,S2,PR5,522,504,7.55,27,15
R315,2024-01-20,P1,L3,S3,PR3,466,455,7.1,54,15
R316,2024-01-20,P2,L4,S1,PR1,744,718,7.88,7,20
R317,2024-01-20,P2,L4,S2,PR2,786,755,8.0,0,8
R318,2024-01-20,P2,L4,S3,PR1,745,740,7.75,15,7
R319,2024-01-20,P2,L5,S1,PR1,667,664,7.95,3,22
R320,2024-01-20,P2,L5,S2,PR5,698,697,7.88,7,14
R321,2024-01-20,P2,L5,S3,PR5,575,560,7.53,28,16
R322,2024-01-20,P2,L6,S1,PR5,545,541,7.65,21,21
R323,2024-01-20,P2,L6,S2,PR1,459,445,7.15,51,14
R324,2024-01-20,P2,L6,S3,PR1,516,496,7.63,22,6
R325,2024-01-22,P1,L1,S1,PR2,759,732,7.78,13,12
R326,2024-01-22,P1,L1,S2,PR5,770,733,7.7,18,7
R327,2024-01-22,P1,L1,S3,PR5,708,686,7.13,52,20
R328,2024-01-22,P1,L2,S1,PR3,683,656,7.67,20,25
R329,2024-01-22,P1,L2,S2,PR3,741,738,7.98,1,17
R330,2024-01-22,P1,L2,S3,PR3,632,619,7.72,17,9
R331,2024-01-22,P1,L3,S1,PR3,499,489,7.03,58,12
R332,2024-01-22,P1,L3,S2,PR4,564,542,7.8,12,8
R333,2024-01-22,P1,L3,S3,PR4,465,459,7.28,43,9
R334,2024-01-22,P2,L4,S1,PR2,732,697,7.82,11,27
R335,2024-01-22,P2,L4,S2,PR5,784,772,7.5,30,11
R336,2024-01-22,P2,L4,S3,PR1,677,670,7.68,19,11
R337,2024-01-22,P2,L5,S1,PR4,642,628,7.6,24,17
R338,2024-01-22,P2,L5,S2,PR3,598,570,7.83,10,20
R339,2024-01-22,P2,L5,S3,PR2,602,598,7.93,4,23
R340,2024-01-22,P2,L6,S1,PR1,488,484,7.57,26,16
R341,2024-01-22,P2,L6,S2,PR2,520,496,7.6,24,11
R342,2024-01-22,P2,L6,S3,PR1,488,472,7.0,60,8
R343,2024-01-23,P1,L1,S1,PR2,806,768,7.65,21,12
R344,2024-01-23,P1,L1,S2,PR2,826,812,7.1,54,9
R345,2024-01-23,P1,L1,S3,PR5,706,687,7.1,54,19
R346,2024-01-23,P1,L2,S1,PR5,740,733,7.88,7,14
R347,2024-01-23,P1,L2,S2,PR1,691,665,7.57,26,24
R348,2024-01-23,P1,L2,S3,PR2,724,716,7.85,9,21
R349,2024-01-23,P1,L3,S1,PR1,562,553,7.63,22,16
R350,2024-01-23,P1,L3,S2,PR4,527,516,7.28,43,16
R351,2024-01-23,P1,L3,S3,PR3,512,494,7.8,12,15
R352,2024-01-23,P2,L4,S1,PR2,743,711,7.62,23,24
R353,2024-01-23,P2,L4,S2,PR4,767,728,7.92,5,13
R354,2024-01-23,P2,L4,S3,PR4,745,730,7.58,25,28
R355,2024-01-23,P2,L5,S1,PR3,608,596,7.88,7,15
R356,2024-01-23,P2,L5,S2,PR3,688,680,7.9,6,8
R357,2024-01-23,P2,L5,S3,PR1,632,630,7.9,6,12
R358,2024-01-23,P2,L6,S1,PR1,551,540,7.67,20,20
R359,2024-01-23,P2,L6,S2,PR2,499,481,7.77,14,15
R360,2024-01-23,P2,L6,S3,PR3,493,470,7.83,10,12
R361,2024-01-24,P1,L1,S1,PR1,840,799,7.45,33,28
R362,2024-01-24,P1,L1,S2,PR1,688,687,7.13,52,26
R363,2024-01-24,P1,L1,S3,PR5,747,737,7.77,14,7
R364,2024-01-24,P1,L2,S1,PR1,707,672,7.87,8,13
R365,2024-01-24,P1,L2,S2,PR4,750,738,7.83,10,17
R366,2024-01-24,P1,L2,S3,PR5,661,636,8.0,0,25
R367,2024-01-24,P1,L3,S1,PR5,454,435,7.03,58,14
R368,2024-01-24,P1,L3,S2,PR5,446,439,7.25,45,7
R369,2024-01-24,P1,L3,S3,PR1,508,499,7.55,27,9
R370,2024-01-24,P2,L4,S1,PR2,724,722,7.73,16,10
R371,2024-01-24,P2,L4,S2,PR4,757,735,7.55,27,21
R372,2024-01-24,P2,L4,S3,PR3,685,664,7.55,27,12
R373,2024-01-24,P2,L5,S1,PR3,632,628,7.58,25,10
R374,2024-01-24,P2,L5,S2,PR2,665,638,7.85,9,6
R375,2024-01-24,P2,L5,S3,PR1,551,547,7.57,26,13
R376,2024-01-24,P2,L6,S1,PR4,499,498,7.0,60,7
R377,2024-01-24,P2,L6,S2,PR3,506,500,7.53,28,17
R378,2024-01-24,P2,L6,S3,PR2,485,479,7.58,25,13
R379,2024-01-25,P1,L1,S1,PR5,795,786,7.45,33,19
R380,2024-01-25,P1,L1,S2,PR5,844,806,7.68,19,11
R381,2024-01-25,P1,L1,S3,PR2,684,656,7.17,50,16
R382,2024-01-25,P1,L2,S1,PR1,740,705,7.63,22,19
R383,2024-01-25,P1,L2,S2,PR3,696,672,7.55,27,15
R384,2024-01-25,P1,L2,S3,PR1,604,574,7.58,25,6
R385,2024-01-25,P1,L3,S1,PR3,533,522,7.78,13,9
R386,2024-01-25,P1,L3,S2,PR4,474,466,7.82,11,16
R387,2024-01-25,P1,L3,S3,PR3,482,463,7.72,17,18
R388,2024-01-25,P2,L4,S1,PR3,759,726,7.87,8,18
R389,2024-01-25,P2,L4,S2,PR4,838,819,7.98,1,8
R390,2024-01-25,P2,L4,S3,PR1,735,710,7.65,21,18
R391,2024-01-25,P2,L5,S1,PR3,622,591,7.55,27,7
R392,2024-01-25,P2,L5,S2,PR2,634,614,7.9,6,8
R393,2024-01-25,P2,L5,S3,PR1,669,662,7.67,20,10
R394,2024-01-25,P2,L6,S1,PR3,531,508,7.77,14,6
R395,2024-01-25,P2,L6,S2,PR2,547,520,7.68,19,19
R396,2024-01-25,P2,L6,S3,PR1,461,439,7.02,59,11
